Wall time,Step,Value
1645559349.2228305,727,196.1841583251953
1645559351.7313616,729,242.3992156982422
1645559352.2760856,730,221.35060119628906
1645559353.7367723,732,228.16595458984375
1645559355.6768596,733,-9.652388572692871
1645559356.1434045,734,270.3294372558594
1645559360.2480261,739,235.7344512939453
1645559365.7305222,743,223.3358154296875
1645559367.696227,745,230.94483947753906
1645559382.7644875,757,143.80194091796875
1645559384.2626324,759,221.5209503173828
1645559392.6416652,765,203.165283203125
1645559393.5413218,766,209.77911376953125
1645559397.8509614,769,257.47625732421875
1645559398.9388676,770,209.6649169921875
1645559400.815264,773,254.83604431152344
1645559403.1191795,776,-107.12373352050781
1645559405.5773158,777,-4.933666229248047
1645559407.692618,779,253.97654724121094
1645559408.1731803,780,253.8812255859375
1645559409.0888815,781,253.8638153076172
1645559410.0210216,782,202.60992431640625
1645559411.0109873,783,214.7468719482422
1645559417.4540184,789,215.07022094726562
1645559421.9616613,792,29.913917541503906
1645559438.6614351,805,206.78208923339844
1645559439.7704504,806,191.8434600830078
1645559440.5846744,807,245.0401153564453
1645559441.1513686,808,236.18438720703125
1645559442.8798199,811,268.1050720214844
1645559449.2685332,819,213.10804748535156
1645559449.583769,820,246.57650756835938
1645559455.9915612,828,221.58534240722656
1645559458.9284468,829,-30.074270248413086
1645559461.9303818,833,204.7361297607422
1645559462.6021512,834,252.86004638671875
1645559464.6643476,836,257.2420349121094
1645559465.2256427,837,217.52328491210938
1645559467.8787785,840,248.7965087890625
1645559468.5733922,841,206.70652770996094
1645559472.1545196,844,244.61001586914062
1645559475.0375514,846,206.39767456054688
1645559479.610097,851,240.08114624023438
1645559480.2540734,852,241.7317352294922
1645559482.242393,855,144.70352172851562
1645559484.0013142,858,262.9675598144531
1645559487.0799594,861,159.204345703125
1645559489.375048,863,247.1507568359375
1645559490.6327176,866,225.6663055419922
1645559491.2123952,867,237.88699340820312
1645559494.0324101,871,230.4661407470703
1645559494.4614036,872,269.55438232421875
1645559501.577513,885,269.57354736328125
1645559503.0287032,887,235.61257934570312
1645559505.4113457,891,231.79234313964844
1645559506.9983373,893,250.5674591064453
1645559509.6152549,896,185.5904541015625
1645559511.9496033,898,217.6610107421875
1645559512.5587122,899,237.5941162109375
1645559516.0217135,902,225.6477813720703
1645559517.0077477,903,207.06459045410156
1645559519.7109084,908,221.5074462890625
1645559520.0429618,909,264.9430847167969
1645559521.022018,911,244.8690643310547
1645559521.4479027,912,246.93511962890625
1645559524.4693341,915,237.37228393554688
1645559527.2917461,919,230.66424560546875
1645559527.8071985,920,240.74806213378906
1645559528.651721,922,300.80853271484375
1645559533.0635362,929,209.61959838867188
1645559534.0683968,931,219.17605590820312
1645559534.5006254,932,242.93495178222656
1645559535.0887947,933,220.16285705566406
1645559538.6168518,940,210.77584838867188
1645559539.7524633,943,236.7736053466797
1645559541.4119272,946,242.15000915527344
1645559543.3426392,950,253.8104248046875
1645559546.458692,953,222.19432067871094
1645559548.0642996,956,224.2872314453125
1645559550.4794405,961,201.19476318359375
1645559551.986747,964,230.14459228515625
1645559553.2675757,966,261.2652893066406
1645559554.1239347,968,234.9546356201172
1645559555.1522338,969,199.61978149414062
1645559561.8702683,979,236.14971923828125
1645559562.2036483,980,248.3365478515625
1645559563.922774,983,277.26739501953125
1645559566.331881,987,248.54461669921875
1645559569.1657422,991,278.0706481933594
1645559571.2723138,993,241.87234497070312
1645559572.1705244,995,262.49810791015625
1645559573.516258,997,242.45172119140625
1645559574.2560854,999,279.3181457519531
1645559574.7759147,1000,249.24122619628906
1645559575.8627887,1003,263.53692626953125
1645559576.1899598,1004,304.2761535644531
1645559576.4796898,1005,275.27496337890625
1645559578.7289708,1007,224.26402282714844
1645559582.792432,1012,258.1006774902344
1645559583.4995108,1014,275.2434997558594
1645559584.37648,1016,260.5690002441406
1645559588.4804215,1023,242.3817596435547
1645559589.8505156,1027,249.79931640625
1645559591.192066,1029,248.8780517578125
1645559593.672078,1036,268.4669494628906
1645559593.969918,1037,269.50848388671875
1645559594.2789617,1038,252.30076599121094
1645559594.554576,1039,252.1175994873047
1645559594.8685644,1040,-43.14350128173828
1645559596.8163052,1044,246.4182586669922
1645559598.7333224,1047,247.9766082763672
1645559605.7774293,1057,241.12814331054688
1645559606.8064246,1059,225.0243377685547
1645559609.5872219,1061,242.27694702148438
1645559610.4251459,1063,265.59149169921875
1645559611.5412314,1066,248.13807678222656
1645559612.3617826,1068,247.0578155517578
1645559613.2736013,1070,252.8786163330078
1645559613.5472941,1071,279.1351318359375
1645559614.1488817,1072,245.68016052246094
1645559614.4058156,1073,258.2187194824219
1645559615.9204197,1074,128.32118225097656
1645559617.5417745,1075,219.03125
1645559618.9264958,1078,253.44017028808594
1645559620.9102936,1081,251.0634307861328
1645559624.0695632,1086,280.7851867675781
1645559624.4574068,1087,255.14828491210938
1645559624.7608545,1088,272.4493103027344
1645559628.2471519,1092,143.93995666503906
1645559631.8533762,1099,284.9462890625
1645559634.2315235,1101,268.450927734375
1645559635.0391788,1103,229.4320526123047
1645559635.4029927,1104,264.3891906738281
1645559635.799009,1105,268.81787109375
1645559637.46811,1108,247.57174682617188
1645559638.6924374,1110,238.51156616210938
1645559639.4433396,1112,256.6772155761719
1645559639.726315,1113,287.4670104980469
1645559640.4870052,1115,2.9018282890319824
1645559644.2174385,1120,202.78424072265625
1645559645.2377803,1122,228.08853149414062
1645559645.5711331,1123,289.6750183105469
1645559647.0876498,1126,240.35890197753906
1645559647.7936978,1127,276.9921569824219
1645559648.3611906,1129,252.96058654785156
1645559648.8035195,1130,230.04893493652344
1645559652.645567,1133,300.8090515136719
1645559653.8358445,1135,220.66543579101562
1645559655.4696596,1137,242.5911407470703
